Current Enemy: (7, 0, -7)

Tile Scores: 
(8, 3, -11) - Score: 5
(7, 4, -11) - Score: 5
(8, 4, -12) - Score: 0
(9, 3, -12) - Score: 0
(8, 2, -10) - Score: -2
(7, 3, -10) - Score: -2
(6, 5, -11) - Score: 0
(7, 5, -12) - Score: 0
(8, 5, -13) - Score: 0
(10, 3, -13) - Score: 0
(10, 2, -12) - Score: 0
(10, 1, -11) - Score: 0
(9, 1, -10) - Score: 5
(8, 1, -9) - Score: -2
(6, 3, -9) - Score: -2
(6, 6, -12) - Score: 0
(5, 5, -10) - Score: 0
(7, 6, -13) - Score: 0
(9, 5, -14) - Score: 0
(10, 4, -14) - Score: 0
(11, 3, -14) - Score: 0
(11, 2, -13) - Score: 0
(11, 1, -12) - Score: 0
(11, 0, -11) - Score: 0
(10, 0, -10) - Score: 0
(7, 1, -8) - Score: -2
(6, 2, -8) - Score: -2
(6, 7, -13) - Score: 0
(4, 5, -9) - Score: 0
(4, 4, -8) - Score: 0
(10, 5, -15) - Score: 0
(11, 4, -15) - Score: 0
(12, 2, -14) - Score: 0
(12, 1, -13) - Score: 0
(12, 0, -12) - Score: 0
(7, 0, -7) - Score: 5
(6, 1, -7) - Score: 5
(5, 2, -7) - Score: 5
(4, 3, -7) - Score: 0
